filename,y,a,split
/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2320061.jpg,1,1,2
/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2394894.jpg,1,1,1
/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2320704.jpg,1,1,1
/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2409593.jpg,1,1,0
/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2375327.jpg,1,1,0
/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2408480.jpg,1,1,0
/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2368029.jpg,1,1,0
/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2390853.jpg,1,1,2
/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2328589.jpg,1,1,1
/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2326030.jpg,1,1,0
/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2365392.jpg,1,1,0
/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2361570.jpg,1,1,0
/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2375174.jpg,1,1,2
/restricted/projectnb/batmanlab/shawn24/PhD/Multimodal-mistakes-debug/data/metashift/MetaShift-Cat-Dog-indoor-outdoor/train/cat/cat(indoor)/2354359.jpg,1,1,0
